id,nome,teor_col,abv_parsed,classificacao,corpo,docura,harmonizacao_col,harmonizacao_parsed,envelhecimento,temperatura
2332728,"SYRAH 2012 Tenuta Ibidini Valle Dell’ Acate Sicilien, Italien",13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332793,"Sylvaner Südtirol Eisacktaler DOC 2023-""Praepositus"" 0,",13.5,13.5,,medio,seco,carne vermelha,carne vermelha,beber ja,14-16C
2332796,Sylvaner – Strasserhof,13.5,14.0,vin vechi de colectie,encorpado,seco,carne vermelha,carne vermelha,20+ anos,16-18C
2332798,"Sylvaner Steinterrassen Sandstein 2021 0,",13.5,14.0,,encorpado,seco,carne vermelha,carne vermelha,5-10 anos,16-18C
2332799,Sylvaner Steinterrassen Muschelkalk 2020 - Stefan Vetter (vin nature),13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332800,"Sylvaner Steinterrassen Muschelkalk 2020 0,",13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332802,"Sylvaner ""Stahlnagel""",13.5,13.5,,medio,seco,carne vermelha,"carne vermelha, caça",3-5 anos,14-16C
2332805,Sylvaner Sly Blanc 2019,12.5,13.5,,medio,seco,frutos do mar,carne vermelha,3-5 anos,14-16C
2332808,Sylvaner / silvaner,13.5,12.5,,leve,seco,carne vermelha,"aperitivo, saladas",beber ja,8-10C
2332795,Teranino Truffell,13.0,14.0,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,16-18C
2332806,Teran Terre Rosse Riserva,13.0,12.5,,leve,seco,carne vermelha; massas; queijo,"aperitivo, saladas",beber ja,8-10C
2332811,Teran Terre Rosse,13.0,14.0,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,16-18C
2332817,Teran Murva,13.0,14.0,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,16-18C
